GEOID,lon,lat,B01003_001E
06075020602,-122.43068254322425,37.75781214927281,2369
06075012202,-122.41968032834835,37.78542702206994,3017
06075017102,-122.45047535158626,37.765435457074304,3550
06075012302,-122.41209698879261,37.7870222178307,2586
06075016801,-122.42901331854999,37.7713309076362,4013
06075011902,-122.40980667574235,37.79099592931623,2732
06075012601,-122.4391508601539,37.802268295055946,2045
06075013101,-122.42474960871935,37.79377958471749,3935
06075012602,-122.4331078875111,37.80734968720194,2956
06075012902,-122.43211050862071,37.80061832247592,2735
06075013102,-122.42743135468739,37.79262010424008,2725
06075015801,-122.43735849877342,37.7813045398408,3220
06075016802,-122.42492916220391,37.77354456709869,3754
06075032602,-122.48257983978486,37.75889884912839,4105
06075017101,-122.44608375243334,37.76572468065114,4125
06075017801,-122.40115887480509,37.78202848731916,3335
06075022704,-122.40198932715157,37.76095204125258,3982
06075025701,-122.41194049909784,37.73158252042851,5047
06075025702,-122.40575895313752,37.72813066300479,4601
06075031201,-122.45733175811093,37.7217837739506,5906
06075031202,-122.45239553512619,37.71932863142528,2919
06075032801,-122.48043551573066,37.74601907851575,3946
06075032802,-122.48148505513647,37.75240272974012,4185
06075032901,-122.49018730955495,37.74615407932448,5071
06075061200,-122.39015947624706,37.73704965883512,4163
06075033203,-122.47826492232676,37.715921875365915,3339
06075033204,-122.48039023794065,37.71965143763138,3327
06075042601,-122.48119103985071,37.78312240869526,3999
06075042602,-122.47547887429246,37.78338480479289,3060
06075047801,-122.49211228998475,37.775842842127666,4227
06075980300,-122.48393724755694,37.768922719961026,49
06075980401,-123.05194831385263,37.73340805944787,0
06075012502,-122.41259543302827,37.78393299194496,4689
06075980200,-122.50157278216274,37.78700526056351,179
06075023102,-122.38458493056481,37.7345196925145,3411
06075023200,-122.38615028881748,37.72776364659554,4214
06075023300,-122.39776564922519,37.72544253295193,3934
06075022901,-122.41394447722392,37.75120109777628,4197
06075022803,-122.41208422746749,37.75583683357323,4098
06075047702,-122.48378884962517,37.77446025144396,3441
06075035202,-122.50614695325358,37.761399617946054,4559
06075013300,-122.45242924128331,37.788730720851596,4160
06075025403,-122.42062357991388,37.733769028056884,4686
06075022702,-122.39551434846011,37.76261434784368,2017
06075030202,-122.46732052388516,37.763094636183055,4017
06075026001,-122.43224336695125,37.723550283167846,6010
06075026003,-122.42877025354129,37.719581785848206,4873
06075026404,-122.41529329663543,37.70965075347471,2404
06075045100,-122.46134751261229,37.77758499968825,4664
06075025401,-122.42097620829585,37.73770592993614,3706
06075060502,-122.42058790356637,37.71129287086483,3087
06075016500,-122.44778814351932,37.77419570976947,5393
06075015300,-122.43933458837435,37.78676179380613,2427
06075013500,-122.43255507733556,37.79089764810271,2544
06075013200,-122.4387454408436,37.7936675510885,3721
06075023103,-122.37470854014127,37.7357752957162,4512
06075022801,-122.41251129656925,37.7607270212913,4755
06075018000,-122.4022839040334,37.775335578397154,3636
06075010300,-122.41568108532509,37.8016200471581,3791
06075010500,-122.39713931998574,37.799751076160774,3177
06075010600,-122.40638796427976,37.79937842363358,3293
06075010800,-122.41429134679451,37.79649841098924,4334
06075011200,-122.41273326450796,37.79297128596055,2678
06075011300,-122.40934926432207,37.794697182283876,2518
06075011700,-122.4034747696408,37.79049762741283,1947
06075011800,-122.40616449952407,37.79335057657601,1635
06075012700,-122.44477248552754,37.80475930935297,3973
06075015500,-122.43413177396258,37.78509404246093,3936
06075015600,-122.45642688851244,37.77824740412404,2927
06075012100,-122.41188805438195,37.788806581937116,3250
06075015100,-122.42342596155414,37.787456404324125,2840
06075015900,-122.42934271665203,37.78334089382876,4876
06075016000,-122.42249148284178,37.782339184061655,2725
06075016200,-122.42288065034991,37.77715414925226,3198
06075016300,-122.42955091904659,37.776045636683826,3794
06075016400,-122.43697293651054,37.775099517498745,3481
06075016700,-122.43773566091285,37.770348178414714,5092
06075016900,-122.43246692343344,37.767100390692704,2890
06075017000,-122.43949734493845,37.764887380691995,4016
06075025200,-122.41421661824525,37.74371255767524,5610
06075025300,-122.42024333827531,37.74387487531654,4218
06075025402,-122.41277876403744,37.736876859467756,3163
06075025600,-122.42237726350595,37.728788454491735,5290
06075025800,-122.40189722088951,37.721495026263874,1776
06075025900,-122.41082674874043,37.723286556413214,4134
06075026002,-122.42628230096403,37.726119596080444,3731
06075026004,-122.43570332394016,37.71789189163123,3924
06075020500,-122.43702964109637,37.75912829760436,2895
06075061000,-122.38549534268547,37.71264309726475,4558
06075026100,-122.44315989517025,37.71962397794757,6601
06075020401,-122.44348303929527,37.759511592287154,3409
06075060400,-122.49615534187706,37.719847129006304,1818
06075026301,-122.43953611420282,37.71386870908713,4955
06075026302,-122.4308296758572,37.711646615921815,4707
06075026403,-122.40691233592038,37.711190802384905,3453
06075026303,-122.44345445144664,37.70966194447739,4425
06075026401,-122.41128333545352,37.71352510034046,3470
06075026402,-122.40349094249127,37.7164934714489,4654
06075030101,-122.45974275537874,37.764256828686804,4588
06075030102,-122.4569147669027,37.75836125277843,4808
06075030201,-122.47378404090152,37.76281364514976,4120
06075030301,-122.46923328451567,37.75693921291036,6509
06075030302,-122.471631378311,37.751936441971566,3492
06075030400,-122.4675251886443,37.74695251939554,5120
06075030500,-122.45261997710045,37.751735854730946,3778
06075030600,-122.45713885363278,37.74375353270782,2356
06075030700,-122.45023636563525,37.73742190469898,6600
06075030800,-122.46786396034132,37.73919208048763,5769
06075980501,-122.41874810481637,37.71817509545954,155
06075026201,-122.45830160271078,37.709706306175924,3928
06075026202,-122.44831788318251,37.713404961238055,3664
06075012405,-122.41746202850258,37.77951954329968,3878
06075020101,-122.42014733999383,37.77023742306837,4221
06075017603,-122.4143406194503,37.77630920910064,4527
06075017803,-122.4120419178638,37.7734260385206,2318
06075012503,-122.41050856068514,37.78346572002109,4497
06075017804,-122.40672419775454,37.77762913278288,3911
06075017602,-122.4070180282384,37.78212418754434,3251
06075061503,-122.39653525899456,37.78579227993562,3612
06075060703,-122.39570784177371,37.774927964428834,5936
06075061402,-122.39470085066668,37.75658334942617,2354
06075061502,-122.3929796600946,37.781714718223455,2195
06075017903,-122.37018907909167,37.81926640008627,2829
06075045201,-122.46960135215915,37.77704205021366,3113
06075035102,-122.49902426851146,37.75477819335338,3828
06075980600,-122.36777525954057,37.722507401929036,1290
06075047904,-122.5153852515928,37.790070231438655,3175
06075015701,-122.45071916570078,37.77848564973342,4958
06075015402,-122.45140165285463,37.78558536862822,2747
06075015702,-122.44437160486974,37.77949265707454,3109
06075016602,-122.4511457583524,37.7699467082827,1986
06075016601,-122.4449408822665,37.77086680664313,3027
06075012504,-122.41295446932328,37.781141105396756,651
06075020102,-122.41968795035724,37.76505221102613,3627
06075020802,-122.41937775915198,37.76183319192746,2274
06075020801,-122.41899602476735,37.75783411054378,3732
06075061401,-122.39994324761712,37.753761663039654,2900
06075020702,-122.42378338143358,37.76156863321151,2046
06075060702,-122.40030722717997,37.76808910372616,2359
06075012001,-122.41862880110841,37.78842879907998,1738
06075010101,-122.41071883795352,37.8087055115498,2004
06075010102,-122.41394374787885,37.80468998312767,1795
06075060701,-122.38740924714499,37.77361971827186,8415
06075033001,-122.48989504270773,37.738569266835015,3858
06075033002,-122.48175759701746,37.73848753605881,3940
06075031401,-122.45710763569703,37.71289108718553,2700
06075025501,-122.44119243375783,37.725684975043336,4073
06075010202,-122.42260689494627,37.80741098485167,1761
06075061504,-122.39241244137345,37.78525625487674,2133
06075061507,-122.38998906918732,37.79138090239522,1550
06075025502,-122.43335550392854,37.7304262942886,3451
06075016101,-122.43195442837612,37.779561527754936,2444
06075990200,-122.37293382677284,37.804735731539985,0
06075016102,-122.42702214334457,37.78019319372788,2798
06075012801,-122.44389577598241,37.79744285741385,2547
06075010402,-122.40525758547977,37.80189983768716,2012
06075061101,-122.4033561955743,37.79562490527728,1814
06075061102,-122.40736576578789,37.79548277601163,2017
06075061501,-122.40010772025005,37.78783855616347,1807
06075012403,-122.41660935199603,37.782945862190765,2696
06075061505,-122.39064383890698,37.78910269425246,1162
06075047903,-122.50374000862492,37.77542103925579,3608
06075035101,-122.49933292835371,37.76167926977223,3848
06075061506,-122.39101651132408,37.78765938804848,4918
06075045202,-122.46562403241775,37.777237421488024,3304
06075012406,-122.41921150157903,37.78309405123639,1358
06075012404,-122.41496846704673,37.78315625849958,2587
06075017604,-122.41174336603603,37.779858229180725,3720
06075015401,-122.45072752202395,37.783342347134806,3035
06075010902,-122.42219473358753,37.79781023921991,2568
06075010901,-122.41886073619125,37.79827264476994,2069
06075012204,-122.41553407228596,37.785951530070506,2389
06075015202,-122.43191109335359,37.78770477643494,2334
06075015201,-122.42697594038562,37.78833238629053,1532
06075020701,-122.42339942462206,37.75756723235111,3032
06075010401,-122.41068804438697,37.80277958882342,2393
06075011001,-122.41963209943113,37.79346777554984,2327
06075011102,-122.41890438538279,37.78983648883778,2205
06075012002,-122.4184248412972,37.78749564729911,2035
06075010701,-122.40925683077971,37.79749890794142,3280
06075010702,-122.41095471288494,37.79968111852791,1380
06075011002,-122.41995915297647,37.79526174155069,1755
06075012203,-122.41717434531101,37.78574121042713,1895
06075031402,-122.45717121886747,37.71608565295378,4671
06075013401,-122.43833133853731,37.790159033285235,1456
06075020202,-122.42423690859498,37.76878183579262,3929
06075013402,-122.44328882862074,37.78953616079511,2302
06075012802,-122.43853538666845,37.79835833281658,2035
06075013002,-122.43375462977166,37.79683229299001,2785
06075020601,-122.43008238691459,37.76090519490571,3073
06075020201,-122.42409459251797,37.76478792569673,1847
06075061508,-122.3870717833629,37.784735596205614,2018
06075013001,-122.42722770057739,37.797662692683815,1770
06075010201,-122.42121471941361,37.80130290305286,2608
06075011101,-122.41926561560818,37.791682189638166,2470
06075990100,-122.55187188363206,37.762190614246315,0
06075020402,-122.4444123340638,37.75283967552948,4083
06075980900,-122.38946439620965,37.74560944060417,322
06075011901,-122.41391420463475,37.790472848758874,2084
06075012901,-122.4272490058381,37.80195972116794,2887
06075015802,-122.43850238931796,37.778079011047694,3163
06075031301,-122.46786609600024,37.719328096428896,3847
06075031302,-122.46710373022802,37.71339852578217,4727
06075032601,-122.48079869502284,37.76248943382182,4511
06075032902,-122.49064643360387,37.7526804499018,3797
06075047802,-122.49632335893585,37.77743204740231,3897
06075012301,-122.4107459437849,37.78592029954905,1766
06075047902,-122.50410084027185,37.77923843949173,3327
06075030900,-122.46836431507631,37.72827031315932,6425
06075031100,-122.4462243060463,37.72961303979701,6276
06075031000,-122.45716149333109,37.728625008936284,4336
06075032700,-122.49116961509755,37.76016927082332,6729
06075033100,-122.48718854002301,37.73220448655025,3866
