Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,lat,lon,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Hyatt at Fisherman's Wharf,555 N Point St,,San Francisco,CA,94133.0,,415-563-1234,E,,Public,24 hours daily; pay lot; guest use only; see valet for access; 3 hour maximum,,,,,,1.0,,,Non-Networked,,GPS,37.80619,-122.4152,2025-06-06,7280,2025-06-06 18:42:11 UTC,P,,,1998-07-01,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,True,,,,,,,,LD,False,
ELEC,Palace Hotel,2 New Montgomery St,,San Francisco,CA,94105.0,,415-512-1111,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,GPS,37.78881,-122.401,2025-05-12,21358,2025-05-12 16:15:59 UTC,P,,,2002-01-31,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,$10 per session,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Mark Hopkins InterContinental Hotel,999 California St,California at Mason,San Francisco,CA,94108.0,,415-392-3434,E,,Public,24 hours daily; for guest use only; see valet for access,,,,,,1.0,,,Non-Networked,,200-8,37.791791,-122.411265,2024-08-15,21360,2025-02-12 00:16:32 UTC,P,,,2002-01-31,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,True,,,,,,,,LD,False,
ELEC,Golden Gate Park - Music Concourse Garage,1 Music Concourse Dr,,San Francisco,CA,94118.0,,415-750-0741,E,,Public,Garage business hours; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,9.0,4.0,,,Non-Networked,,200-8,37.768766,-122.468341,2025-01-13,46473,2025-02-12 00:16:32 UTC,P,,,2012-04-10,,,,,J1772 NEMA520,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,InterContinental Hotel - San Francisco,888 Howard St,,San Francisco,CA,94103.0,,415-616-6500,E,,Public,24 hours daily; pay lot; for guest use only,,,,,,2.0,,,Non-Networked,,200-9,37.782079,-122.404764,2025-05-12,50011,2025-05-12 16:15:59 UTC,P,,,2011-08-01,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,True,,,,,,,,LD,False,
ELEC,Pacific Place Garage,22 4Th St,,San Francisco,CA,94103.0,,855-900-7584,E,,Public,Mon: 6:00am-8:00pm; Tue: 6:00am-8:00pm; Wed: 6:00am-8:00pm; Thu: 6:00am-8:00pm; Fri: 6:00am-8:00pm; Sat: 6:00am-8:00pm; Sun: 6:00am-8:00pm,,,,,,1.0,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,37.784911,-122.405334,2025-12-12,63877,2025-12-12 03:11:36 UTC,,,,2018-08-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,Stonestown Galleria Trader Joes,3251 20Th Ave,,San Francisco,CA,94132.0,,855-900-7584,E,,Public,Mon: 6:00am-11:59pm; Tue: 6:00am-11:59pm; Wed: 6:00am-11:59pm; Thu: 6:00am-11:59pm; Fri: 6:00am-11:59pm; Sat: 6:00am-11:59pm; Sun: 6:00am-11:59pm,,,,,,2.0,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,37.726664,-122.47599,2025-12-12,63881,2025-12-12 03:11:46 UTC,,,,2014-08-01,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,Stanford Court Hotel,905 California St,,San Francisco,CA,94108.0,,415-989-3500,E,,Public,Restricted to garage hours; pay lot; for hotel guest use only,,,,,,2.0,,,Non-Networked,,200-8,37.791983,-122.409718,2023-09-14,65680,2025-12-03 18:16:28 UTC,P,,,2014-03-31,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,True,,,,,,,,LD,False,
ELEC,Tishman Speyer,1 Bush Street,,San Francisco,CA,94104.0,,888-998-2546,E,,Public,24 hours daily,,,,,,2.0,,,Blink Network,https://blinkcharging.com,GPS,37.791185,-122.39968,2025-12-12,95556,2025-12-12 00:16:59 UTC,,,,2015-01-14,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,False,,,,,,,,,False,
ELEC,Owens St Parking Garage,1670 Owens Street,,San Francisco,CA,94158.0,,888-998-2546,E,,Public,24 hours daily,,,,,,4.0,,,Blink Network,https://blinkcharging.com,GPS,37.767928,-122.3942639,2025-12-12,96022,2025-12-12 00:22:07 UTC,,,,2016-07-08,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,False,,,,,,,,,False,
