k,method,added_pop,added_pts
1,Greedy,32497.0,7
1,ILP,32497.0,7
2,Greedy,60587.0,14
2,ILP,60587.0,14
3,Greedy,85056.0,19
3,ILP,85056.0,19
4,Greedy,107762.0,26
4,ILP,107762.0,26
5,Greedy,125616.0,30
5,ILP,126365.0,32
6,Greedy,142839.0,36
6,ILP,144219.0,36
7,Greedy,157556.0,40
7,ILP,161287.0,41
8,Greedy,171099.0,43
8,ILP,174830.0,44
9,Greedy,180834.0,46
9,ILP,184565.0,47
10,Greedy,188016.0,48
10,ILP,191722.0,49
11,Greedy,195170.0,49
11,ILP,198876.0,50
12,Greedy,200939.0,50
12,ILP,204645.0,51
13,Greedy,205451.0,51
13,ILP,209157.0,52
14,Greedy,209665.0,52
14,ILP,213391.0,52
15,Greedy,213790.0,53
15,ILP,217605.0,53
16,Greedy,217736.0,54
16,ILP,221551.0,54
17,Greedy,221078.0,55
17,ILP,224726.0,55
18,Greedy,224253.0,56
18,ILP,227555.0,56
19,Greedy,227285.0,57
19,ILP,230114.0,58
20,Greedy,230114.0,58
20,ILP,231932.0,59
21,Greedy,231932.0,59
21,ILP,233222.0,60
22,Greedy,233222.0,60
22,ILP,233401.0,61
23,Greedy,233401.0,61
23,ILP,233450.0,62
24,Greedy,233450.0,62
24,ILP,233450.0,62
25,Greedy,233450.0,62
25,ILP,233450.0,62
26,Greedy,233450.0,62
26,ILP,233450.0,62
27,Greedy,233450.0,62
27,ILP,233450.0,62
28,Greedy,233450.0,62
28,ILP,233450.0,62
29,Greedy,233450.0,62
29,ILP,233450.0,62
30,Greedy,233450.0,62
30,ILP,233450.0,62
31,Greedy,233450.0,62
31,ILP,233450.0,62
32,Greedy,233450.0,62
32,ILP,233450.0,62
33,Greedy,233450.0,62
33,ILP,233450.0,62
34,Greedy,233450.0,62
34,ILP,233450.0,62
35,Greedy,233450.0,62
35,ILP,233450.0,62
36,Greedy,233450.0,62
36,ILP,233450.0,62
37,Greedy,233450.0,62
37,ILP,233450.0,62
38,Greedy,233450.0,62
38,ILP,233450.0,62
39,Greedy,233450.0,62
39,ILP,233450.0,62
40,Greedy,233450.0,62
40,ILP,233450.0,62
41,Greedy,233450.0,62
41,ILP,233450.0,62
42,Greedy,233450.0,62
42,ILP,233450.0,62
43,Greedy,233450.0,62
43,ILP,233450.0,62
44,Greedy,233450.0,62
44,ILP,233450.0,62
45,Greedy,233450.0,62
45,ILP,233450.0,62
46,Greedy,233450.0,62
46,ILP,233450.0,62
47,Greedy,233450.0,62
47,ILP,233450.0,62
48,Greedy,233450.0,62
48,ILP,233450.0,62
49,Greedy,233450.0,62
49,ILP,233450.0,62
50,Greedy,233450.0,62
50,ILP,233450.0,62
51,Greedy,233450.0,62
51,ILP,233450.0,62
52,Greedy,233450.0,62
52,ILP,233450.0,62
53,Greedy,233450.0,62
53,ILP,233450.0,62
54,Greedy,233450.0,62
54,ILP,233450.0,62
55,Greedy,233450.0,62
55,ILP,233450.0,62
56,Greedy,233450.0,62
56,ILP,233450.0,62
57,Greedy,233450.0,62
57,ILP,233450.0,62
58,Greedy,233450.0,62
58,ILP,233450.0,62
59,Greedy,233450.0,62
59,ILP,233450.0,62
60,Greedy,233450.0,62
60,ILP,233450.0,62
61,Greedy,233450.0,62
61,ILP,233450.0,62
62,Greedy,233450.0,62
62,ILP,233450.0,62
63,Greedy,233450.0,62
63,ILP,233450.0,62
64,Greedy,233450.0,62
64,ILP,233450.0,62
65,Greedy,233450.0,62
65,ILP,233450.0,62
